mcmc_step,log_likelihood,accepts,accepts_lower,rejects,accepts0,accepts0_lower,rejects0,time
0,-457.8211,1,0,0,0,0,0,1.321136e-07 days
1,-456.2321,1,0,0,0,0,0,2.91151e-07 days
2,-456.2321,0.6666667,0,0.3333333,0,0,0,4.534838e-07 days
3,-452.3029,0.75,0,0.25,0,0,0,6.173577e-07 days
4,-442.4624,0.8,0,0.2,0,0,0,7.723111e-07 days
5,-442.4557,0.8333333,0,0.1666667,0,0,0,9.29692e-07 days
6,-442.4557,0.7142857,0,0.2857143,0,0,0,1.09261e-06 days
7,-438.8893,0.75,0,0.25,0,0,0,1.256216e-06 days
8,-437.3898,0.7777778,0,0.2222222,0,0,0,1.424711e-06 days
9,-437.3898,0.7,0,0.3,0,0,0,1.585658e-06 days
10,-437.3898,0.6363636,0,0.3636364,0,0,0,1.756202e-06 days
11,-437.5085,0.6666667,0.08333333,0.3333333,0,0,0,1.912356e-06 days
12,-437.4984,0.6923077,0.07692308,0.3076923,0,0,0,2.07231e-06 days
13,-437.4984,0.6428571,0.07142857,0.3571429,0,0,0,2.227623e-06 days
14,-437.4984,0.6,0.06666667,0.4,0,0,0,2.393159e-06 days
15,-437.4984,0.5625,0.0625,0.4375,0,0,0,2.54994e-06 days
16,-420.2703,0.5882353,0.05882353,0.4117647,0,0,0,2.707412e-06 days
17,-420.2793,0.6111111,0.1111111,0.3888889,0,0,0,2.870087e-06 days
18,-420.2793,0.5789474,0.1052632,0.4210526,0,0,0,3.028303e-06 days
19,-419.9912,0.6,0.1,0.4,0,0,0,3.197117e-06 days
20,-419.9912,0.5714286,0.0952381,0.4285714,0,0,0,3.354851e-06 days
21,-406.1087,0.5909091,0.09090909,0.4090909,0,0,0,3.509768e-06 days
22,-400.7589,0.6086957,0.08695652,0.3913043,0,0,0,3.6759e-06 days
23,-390.0743,0.625,0.08333333,0.375,0,0,0,3.841935e-06 days
24,-380.8797,0.64,0.08,0.36,0,0,0,4.000442e-06 days
25,-380.8797,0.6153846,0.07692308,0.3846154,0,0,0,4.16105e-06 days
26,-380.8797,0.5925926,0.07407407,0.4074074,0,0,0,4.314882e-06 days
27,-375.8908,0.6071429,0.07142857,0.3928571,0,0,0,4.49024e-06 days
28,-375.8908,0.5862069,0.06896552,0.4137931,0,0,0,4.651967e-06 days
29,-373.4108,0.6,0.06666667,0.4,0,0,0,4.817807e-06 days
30,-373.4108,0.5806452,0.06451613,0.4193548,0,0,0,4.974723e-06 days
31,-373.4108,0.5625,0.0625,0.4375,0,0,0,5.132169e-06 days
32,-373.4108,0.5454545,0.06060606,0.4545455,0,0,0,5.297328e-06 days
33,-362.2696,0.5588235,0.05882353,0.4411765,0,0,0,5.455711e-06 days
34,-362.2696,0.5428571,0.05714286,0.4571429,0,0,0,5.614725e-06 days
35,-362.0585,0.5555556,0.05555556,0.4444444,0,0,0,5.779608e-06 days
36,-362.0585,0.5405405,0.05405405,0.4594595,0,0,0,5.940979e-06 days
37,-357.5194,0.5526316,0.05263158,0.4473684,0,0,0,6.098822e-06 days
38,-353.4818,0.5641026,0.05128205,0.4358974,0,0,0,6.267001e-06 days
39,-346.0496,0.575,0.05,0.425,0,0,0,6.432203e-06 days
40,-340.506,0.5853659,0.04878049,0.4146341,0,0,0,6.587413e-06 days
41,-337.5274,0.5952381,0.04761905,0.4047619,0,0,0,6.752397e-06 days
