mcmc_step,log_likelihood,accepts,accepts_lower,rejects,accepts0,accepts0_lower,rejects0,time
0,-774.2402,1,0,0,0,0,0,1.309765e-07 days
1,-770.0414,1,0,0,0,0,0,2.8557e-07 days
2,-770.0414,0.6666667,0,0.3333333,0,0,0,4.439112e-07 days
3,-769.3535,0.75,0,0.25,0,0,0,6.054181e-07 days
4,-761.2629,0.8,0,0.2,0,0,0,7.604383e-07 days
5,-756.3481,0.8333333,0,0.1666667,0,0,0,9.163146e-07 days
6,-756.3481,0.7142857,0,0.2857143,0,0,0,1.074916e-06 days
7,-756.3481,0.625,0,0.375,0,0,0,1.235666e-06 days
8,-751.341,0.6666667,0,0.3333333,0,0,0,1.39714e-06 days
9,-746.8556,0.7,0,0.3,0,0,0,1.558305e-06 days
10,-746.8556,0.6363636,0,0.3636364,0,0,0,1.713575e-06 days
11,-746.1853,0.6666667,0,0.3333333,0,0,0,1.871215e-06 days
12,-746.1853,0.6153846,0,0.3846154,0,0,0,2.023001e-06 days
13,-742.2383,0.6428571,0,0.3571429,0,0,0,2.185245e-06 days
14,-742.2383,0.6,0,0.4,0,0,0,2.34301e-06 days
15,-742.0737,0.625,0,0.375,0,0,0,2.509484e-06 days
16,-730.0636,0.6470588,0,0.3529412,0,0,0,2.669865e-06 days
17,-730.0636,0.6111111,0,0.3888889,0,0,0,2.833964e-06 days
18,-723.808,0.6315789,0,0.3684211,0,0,0,2.996687e-06 days
19,-723.808,0.6,0,0.4,0,0,0,3.162073e-06 days
20,-723.808,0.5714286,0,0.4285714,0,0,0,3.332099e-06 days
21,-714.4535,0.5909091,0,0.4090909,0,0,0,3.494025e-06 days
22,-707.4949,0.6086957,0,0.3913043,0,0,0,3.667789e-06 days
23,-697.1271,0.625,0,0.375,0,0,0,3.848079e-06 days
24,-689.6298,0.64,0,0.36,0,0,0,4.014515e-06 days
25,-689.6298,0.6153846,0,0.3846154,0,0,0,4.179913e-06 days
26,-689.6298,0.5925926,0,0.4074074,0,0,0,4.340314e-06 days
27,-686.1133,0.6071429,0,0.3928571,0,0,0,4.508326e-06 days
28,-686.1133,0.5862069,0,0.4137931,0,0,0,4.678293e-06 days
29,-683.201,0.6,0,0.4,0,0,0,4.840493e-06 days
30,-683.201,0.5806452,0,0.4193548,0,0,0,4.999298e-06 days
31,-683.201,0.5625,0,0.4375,0,0,0,5.169025e-06 days
32,-675.1736,0.5757576,0,0.4242424,0,0,0,5.332326e-06 days
33,-661.4275,0.5882353,0,0.4117647,0,0,0,5.493969e-06 days
34,-660.2983,0.6,0,0.4,0,0,0,5.658894e-06 days
35,-660.5388,0.6111111,0.02777778,0.3888889,0,0,0,5.821375e-06 days
36,-660.5388,0.5945946,0.02702703,0.4054054,0,0,0,5.9798e-06 days
37,-656.0709,0.6052632,0.02631579,0.3947368,0,0,0,6.155836e-06 days
38,-654.7813,0.6153846,0.02564103,0.3846154,0,0,0,6.318367e-06 days
39,-644.0211,0.625,0.025,0.375,0,0,0,6.494283e-06 days
40,-635.6058,0.6341463,0.02439024,0.3658537,0,0,0,6.654436e-06 days
41,-630.5854,0.6428571,0.02380952,0.3571429,0,0,0,6.820273e-06 days
42,-630.5854,0.627907,0.02325581,0.372093,0,0,0,6.983759e-06 days
43,-625.4785,0.6363636,0.02272727,0.3636364,0,0,0,7.147855e-06 days
44,-625.4785,0.6222222,0.02222222,0.3777778,0,0,0,7.308129e-06 days
45,-625.4785,0.6086957,0.02173913,0.3913043,0,0,0,7.470382e-06 days
46,-625.4785,0.5957447,0.0212766,0.4042553,0,0,0,7.633917e-06 days
47,-620.7418,0.6041667,0.02083333,0.3958333,0,0,0,7.794749e-06 days
48,-620.7418,0.5918367,0.02040816,0.4081633,0,0,0,7.959725e-06 days
49,-618.3235,0.6,0.02,0.4,0,0,0,8.12745e-06 days
50,-618.3235,0.5882353,0.01960784,0.4117647,0,0,0,8.287649e-06 days
51,-604.5172,0.5961538,0.01923077,0.4038462,0,0,0,8.45074e-06 days
52,-602.0729,0.6037736,0.01886792,0.3962264,0,0,0,8.612072e-06 days
53,-595.5349,0.6111111,0.01851852,0.3888889,0,0,0,8.775726e-06 days
54,-595.6518,0.6181818,0.03636364,0.3818182,0,0,0,8.939428e-06 days
55,-585.9631,0.625,0.03571429,0.375,0,0,0,9.109732e-06 days
56,-575.9356,0.6315789,0.03508772,0.3684211,0,0,0,9.267747e-06 days
57,-575.9356,0.6206897,0.03448276,0.3793103,0,0,0,9.434897e-06 days
58,-575.9356,0.6101695,0.03389831,0.3898305,0,0,0,9.596733e-06 days
59,-576.1985,0.6166667,0.05,0.3833333,0,0,0,9.757731e-06 days
60,-576.1985,0.6065574,0.04918033,0.3934426,0,0,0,9.915153e-06 days
61,-570.8726,0.6129032,0.0483871,0.3870968,0,0,0,1.007229e-05 days
62,-570.8726,0.6031746,0.04761905,0.3968254,0,0,0,1.022702e-05 days
63,-570.8726,0.59375,0.046875,0.40625,0,0,0,1.040603e-05 days
64,-564.7442,0.6,0.04615385,0.4,0,0,0,1.056213e-05 days
65,-564.7442,0.5909091,0.04545455,0.4090909,0,0,0,1.072583e-05 days
66,-558.7304,0.5970149,0.04477612,0.4029851,0,0,0,1.088235e-05 days
67,-562.8595,0.6029412,0.05882353,0.3970588,0,0,0,1.103722e-05 days
68,-562.8595,0.5942029,0.05797101,0.4057971,0,0,0,1.119409e-05 days
69,-562.6791,0.6,0.05714286,0.4,0,0,0,1.135082e-05 days
70,-562.6791,0.5915493,0.05633803,0.4084507,0,0,0,1.151013e-05 days
71,-562.6791,0.5833333,0.05555556,0.4166667,0,0,0,1.166661e-05 days
72,-562.6791,0.5753425,0.05479452,0.4246575,0,0,0,1.182635e-05 days
73,-560.9601,0.5810811,0.05405405,0.4189189,0,0,0,1.198659e-05 days
74,-560.5193,0.5866667,0.05333333,0.4133333,0,0,0,1.214062e-05 days
75,-557.7436,0.5921053,0.05263158,0.4078947,0,0,0,1.229306e-05 days
76,-554.5869,0.5974026,0.05194805,0.4025974,0,0,0,1.244778e-05 days
77,-550.7867,0.6025641,0.05128205,0.3974359,0,0,0,1.260567e-05 days
