mcmc_step,log_likelihood,accepts,accepts_lower,rejects,accepts0,accepts0_lower,rejects0,time
0,-843.5549,1,0,0,0,0,0,1.65413e-07 days
1,-837.9874,1,0,0,0,0,0,3.751064e-07 days
2,-837.9874,0.6666667,0,0.3333333,0,0,0,6.097941e-07 days
3,-834.7336,0.75,0,0.25,0,0,0,8.282002e-07 days
4,-824.7809,0.8,0,0.2,0,0,0,1.03676e-06 days
5,-822.4942,0.8333333,0,0.1666667,0,0,0,1.263461e-06 days
6,-822.4942,0.7142857,0,0.2857143,0,0,0,1.471051e-06 days
7,-822.4942,0.625,0,0.375,0,0,0,1.667808e-06 days
8,-819.3135,0.6666667,0,0.3333333,0,0,0,1.864467e-06 days
9,-818.5816,0.7,0,0.3,0,0,0,2.074099e-06 days
10,-818.5816,0.6363636,0,0.3636364,0,0,0,2.281972e-06 days
11,-817.4845,0.6666667,0,0.3333333,0,0,0,2.480467e-06 days
12,-817.4845,0.6153846,0,0.3846154,0,0,0,2.682888e-06 days
13,-814.1866,0.6428571,0,0.3571429,0,0,0,2.880268e-06 days
14,-814.1866,0.6,0,0.4,0,0,0,3.078325e-06 days
15,-814.1866,0.5625,0,0.4375,0,0,0,3.280157e-06 days
16,-796.7949,0.5882353,0,0.4117647,0,0,0,3.490804e-06 days
17,-797.4585,0.6111111,0.05555556,0.3888889,0,0,0,3.69362e-06 days
18,-794.4542,0.6315789,0.05263158,0.3684211,0,0,0,3.895298e-06 days
19,-794.4542,0.6,0.05,0.4,0,0,0,4.104514e-06 days
20,-794.4542,0.5714286,0.04761905,0.4285714,0,0,0,4.319427e-06 days
21,-782.8531,0.5909091,0.04545455,0.4090909,0,0,0,4.524889e-06 days
22,-775.6594,0.6086957,0.04347826,0.3913043,0,0,0,4.721074e-06 days
23,-762.1873,0.625,0.04166667,0.375,0,0,0,4.918956e-06 days
24,-752.6941,0.64,0.04,0.36,0,0,0,5.114457e-06 days
25,-752.6941,0.6153846,0.03846154,0.3846154,0,0,0,5.316496e-06 days
26,-752.6941,0.5925926,0.03703704,0.4074074,0,0,0,5.515727e-06 days
27,-748.0545,0.6071429,0.03571429,0.3928571,0,0,0,5.722443e-06 days
28,-748.0545,0.5862069,0.03448276,0.4137931,0,0,0,5.925725e-06 days
29,-744.8658,0.6,0.03333333,0.4,0,0,0,6.126575e-06 days
30,-744.8658,0.5806452,0.03225806,0.4193548,0,0,0,6.327564e-06 days
31,-744.8658,0.5625,0.03125,0.4375,0,0,0,6.528081e-06 days
32,-738.3481,0.5757576,0.03030303,0.4242424,0,0,0,6.726966e-06 days
33,-723.3877,0.5882353,0.02941176,0.4117647,0,0,0,6.924274e-06 days
34,-724.0226,0.6,0.05714286,0.4,0,0,0,7.123196e-06 days
35,-722.9727,0.6111111,0.05555556,0.3888889,0,0,0,7.316929e-06 days
36,-722.9727,0.5945946,0.05405405,0.4054054,0,0,0,7.519635e-06 days
37,-718.0113,0.6052632,0.05263158,0.3947368,0,0,0,7.726743e-06 days
38,-714.9609,0.6153846,0.05128205,0.3846154,0,0,0,7.932116e-06 days
39,-705.2284,0.625,0.05,0.375,0,0,0,8.123101e-06 days
40,-696.0512,0.6341463,0.04878049,0.3658537,0,0,0,8.325972e-06 days
41,-691.082,0.6428571,0.04761905,0.3571429,0,0,0,8.521981e-06 days
42,-691.082,0.627907,0.04651163,0.372093,0,0,0,8.731827e-06 days
43,-685.739,0.6363636,0.04545455,0.3636364,0,0,0,8.92896e-06 days
44,-685.739,0.6222222,0.04444444,0.3777778,0,0,0,9.148193e-06 days
45,-685.739,0.6086957,0.04347826,0.3913043,0,0,0,9.3443e-06 days
46,-685.739,0.5957447,0.04255319,0.4042553,0,0,0,9.557149e-06 days
47,-683.0837,0.6041667,0.04166667,0.3958333,0,0,0,9.764302e-06 days
48,-683.0837,0.5918367,0.04081633,0.4081633,0,0,0,9.973301e-06 days
49,-680.1613,0.6,0.04,0.4,0,0,0,1.016963e-05 days
50,-680.1613,0.5882353,0.03921569,0.4117647,0,0,0,1.036576e-05 days
51,-664.4478,0.5961538,0.03846154,0.4038462,0,0,0,1.058808e-05 days
52,-662.2027,0.6037736,0.03773585,0.3962264,0,0,0,1.078471e-05 days
53,-653.1107,0.6111111,0.03703704,0.3888889,0,0,0,1.098112e-05 days
54,-652.6208,0.6181818,0.03636364,0.3818182,0,0,0,1.11946e-05 days
55,-642.7416,0.625,0.03571429,0.375,0,0,0,1.140305e-05 days
56,-631.8773,0.6315789,0.03508772,0.3684211,0,0,0,1.160571e-05 days
57,-631.8773,0.6206897,0.03448276,0.3793103,0,0,0,1.180731e-05 days
58,-631.8773,0.6101695,0.03389831,0.3898305,0,0,0,1.201187e-05 days
59,-630.1156,0.6166667,0.03333333,0.3833333,0,0,0,1.220542e-05 days
60,-630.1156,0.6065574,0.03278689,0.3934426,0,0,0,1.241246e-05 days
61,-624.6213,0.6129032,0.03225806,0.3870968,0,0,0,1.260249e-05 days
62,-624.6213,0.6031746,0.03174603,0.3968254,0,0,0,1.280787e-05 days
63,-624.6213,0.59375,0.03125,0.40625,0,0,0,1.300984e-05 days
64,-618.2382,0.6,0.03076923,0.4,0,0,0,1.320668e-05 days
65,-618.2382,0.5909091,0.03030303,0.4090909,0,0,0,1.340908e-05 days
66,-612.6801,0.5970149,0.02985075,0.4029851,0,0,0,1.36053e-05 days
67,-615.9713,0.6029412,0.04411765,0.3970588,0,0,0,1.379621e-05 days
68,-614.5596,0.6086957,0.04347826,0.3913043,0,0,0,1.400501e-05 days
69,-614.5596,0.6,0.04285714,0.4,0,0,0,1.421609e-05 days
70,-614.5596,0.5915493,0.04225352,0.4084507,0,0,0,1.442031e-05 days
71,-614.5596,0.5833333,0.04166667,0.4166667,0,0,0,1.46169e-05 days
72,-614.5596,0.5753425,0.04109589,0.4246575,0,0,0,1.481575e-05 days
