0	0 0 0 0	0 0 0 0	0 0 0 0	0 0 0 0
100	0.923 -0.01462 -0.1395 -0.2005	0.05562 -0.208 0.03232 0.3071	-0.03563 -0.3049 0.03452 -0.07592	-0.0723 -0.04601 -0.05708 -0.3391
200	1.68 0.1188 -0.004373 -0.4326	0.09894 -0.2991 0.04497 0.2793	-0.008209 -0.3683 -0.4805 0.02657	0.01031 -0.219 0.01975 -0.6131
300	2.565 0.1263 0.132 -0.5502	-0.06594 -0.6106 -0.3549 0.3014	0.006233 -0.4383 -0.5529 -0.4462	-0.2421 -0.4477 0.3621 -0.9261
400	2.777 0.3077 -0.1103 -0.6719	-0.05078 -0.6352 -0.9002 0.5812	0.1368 -0.7964 -0.7245 -0.6471	-0.1601 -0.2086 0.4328 -0.9784
500	2.851 0.5999 -0.2665 -0.7013	-0.101 -0.4539 -1.237 0.5457	0.4843 -1.045 -0.8426 -0.7607	-0.4359 0.138 0.6389 -1.232
600	3.247 0.6849 -0.09728 -0.6846	0.1598 -0.4806 -1.321 0.6304	0.4628 -1.302 -0.76 -1.008	-0.2683 0.2647 0.7455 -1.018
700	3.595 0.4595 0.23 -1.224	0.1723 -0.6918 -1.438 0.3183	0.2889 -1.477 -0.7932 -1.115	-0.5061 0.4766 1.364 -1.334
800	3.521 0.698 0.0635 -1.216	0.2232 -0.6253 -2.021 0.4381	0.3961 -1.501 -0.9991 -0.9628	-0.7386 0.5417 1.702 -1.239
900	3.705 0.6551 0.4137 -0.9243	-0.3262 -0.7844 -1.904 0.2761	0.1476 -1.829 -1.062 -1.024	-0.8923 0.9696 1.779 -1.387
1000	3.503 0.712 0.1222 -0.781	0.1776 -0.8597 -2.098 0.002516	0.3295 -1.977 -0.8176 -0.9811	-0.895 1.384 1.805 -1.775
1100	3.808 0.5523 -0.01762 -0.2469	0.04406 -0.5513 -2.066 0.009087	0.4277 -2.21 -0.9454 -0.9341	-0.7963 1.541 1.985 -1.746
1200	3.897 0.6415 -0.4365 -0.3862	0.179 -0.7462 -2.331 -0.1847	0.4833 -2.124 -0.8619 -0.9721	-0.8874 1.743 2.272 -1.628
1300	4.146 0.4031 -0.5906 -0.4251	0.8567 -1.017 -2.214 -0.001084	0.4739 -2.282 -0.6816 -1.155	-0.6125 1.241 2.459 -1.555
1400	4.248 0.6601 -0.8509 -0.3694	0.75 -1.042 -2.32 0.1362	0.5604 -2.864 -0.6513 -1.072	-0.5776 1.357 2.645 -1.633
1500	4.276 0.5706 -1.054 -0.5554	0.7295 -0.9747 -2.448 0.1292	0.4774 -2.992 -0.7133 -1.096	-0.7007 1.191 2.531 -1.626
1600	4.094 0.4674 -0.9028 -0.1278	0.9026 -0.9259 -2.256 0.2211	0.5197 -3.483 -0.5116 -0.9381	-0.4833 1.711 2.578 -1.958
1700	4.291 0.7683 -1.121 0.04264	0.8316 -0.9267 -1.876 0.1297	0.5341 -3.36 -0.5764 -0.7772	-0.3328 2.084 2.53 -2.338
1800	4.336 0.7913 -0.9513 0.7038	0.969 -1.048 -2.038 -0.05671	0.6042 -3.292 -0.6361 -0.8061	-0.1266 1.819 2.466 -2.214
1900	4.486 0.8372 -1.26 0.4118	1.216 -1.351 -1.941 0.06743	0.6492 -3.612 -0.5221 -1.338	-0.214 1.51 2.51 -1.922
2000	4.897 0.98 -1.075 0.5139	1.303 -1.332 -1.827 0.2095	0.5545 -3.844 -0.5534 -1.177	-0.1233 1.275 2.553 -2.049
2100	5.003 0.9744 -1.296 0.8544	1.262 -1.043 -1.62 0.4815	0.5038 -4.058 -0.3225 -1.088	-0.1971 1.121 2.441 -2.097
2200	5.23 0.6964 -1.684 1.076	1.294 -1.326 -2.076 0.3539	0.441 -4.216 -0.2805 -0.978	-0.0106 1.182 2.268 -1.944
2300	5.023 0.4789 -1.719 1.119	1.577 -1.342 -2.299 0.7039	0.4821 -4.011 -0.2617 -1.013	0.04832 1.268 2.298 -2.156
2400	5.144 0.514 -1.549 1.018	1.633 -1.402 -2.179 0.6032	0.348 -4.077 0.05803 -1.137	-0.1541 1.277 2.209 -2.008
2500	5.132 1.1 -1.418 1.107	1.868 -1.299 -2.31 0.348	0.4296 -4.272 0.1404 -1.284	-0.1582 0.7212 2.325 -2.017
2600	5.091 1.282 -1.275 1.398	1.382 -1.225 -2.296 0.2947	0.2966 -3.979 -0.1806 -1.313	-0.1882 0.9171 2.185 -2.001
2700	5.202 1.492 -1.122 1.838	1.263 -1.31 -2.694 0.2619	0.1938 -4.008 -0.06348 -1.382	-0.1936 0.7735 2.148 -2.355
2800	5.34 1.702 -1.035 1.961	1.169 -1.234 -3.042 -0.1242	0.04665 -4.38 -0.2393 -1.252	-0.132 0.9184 2.248 -2.566
2900	5.433 1.314 -1.14 2.038	1.132 -1.053 -2.922 0.1138	0.3194 -4.094 -0.2843 -1.458	0.2784 0.8397 2.645 -2.652
3000	5.254 1.412 -1.08 1.983	0.8372 -0.8997 -2.898 0.06426	0.09126 -4.34 -0.3312 -1.558	0.2692 1.16 2.91 -2.999
3100	5.328 1.258 -0.7267 2.149	1.053 -0.8604 -2.691 -0.3052	0.2371 -4.726 -0.1204 -1.625	0.1692 1.204 3.333 -2.873
3200	5.709 1.283 -0.492 1.997	1.037 -0.9251 -2.485 -0.62	0.1814 -4.72 0.1059 -1.511	0.07451 1.226 3.68 -2.89
3300	6.015 1.091 -0.8792 2.055	1.192 -0.8067 -2.476 -0.3508	0.08897 -4.976 0.3221 -1.541	0.03975 1.273 3.902 -2.479
3400	6.026 1.039 -1.09 2.148	1.469 -0.887 -2.609 -0.3627	0.2224 -4.989 0.3175 -1.936	-0.209 1.236 4.049 -2.561
