,from,to,weight,Joint_Probability,Contional_Probability
0,WT,A,49993,0.5554777777777777,0.99986
1,WT,B,3,3.3333333333333335e-05,6e-05
2,WT,C,4,4.4444444444444447e-05,8e-05
3,A,AB,14984,0.16648888888888888,0.49958323608842065
4,A,AC,14984,0.16648888888888888,0.49958323608842065
5,A,AD,25,0.0002777777777777778,0.0008335278231587371
6,B,AB,3,3.3333333333333335e-05,1.0
7,AB,ABD,4987,0.05541111111111111,1.0
8,C,AC,4,4.4444444444444447e-05,1.0
9,AC,ACD,4988,0.05542222222222222,1.0
10,AD,ABD,13,0.00014444444444444444,0.52
11,AD,ACD,12,0.00013333333333333334,0.48
