from to weight
0 1 81610
0 2 352
0 4 82364
0 8 538
0 16 136
1 3 41624
1 5 7908
1 9 548
1 17 1530
2 3 338
2 6 12
2 18 2
3 7 9673
3 11 19
3 19 12270
4 5 5785
4 6 1052
4 12 42017
4 20 3510
5 7 5700
5 13 7611
5 21 382
6 7 997
6 22 67
7 15 2395
7 23 3975
8 9 26
8 12 509
8 24 3
9 11 2
9 13 564
9 25 8
11 15 21
12 13 10115
12 14 18
12 28 12393
13 15 2566
13 29 5724
14 15 18
16 17 68
16 18 1
16 20 64
16 24 3
17 19 113
17 21 1453
17 25 32
18 19 3
19 23 2386
20 21 3393
20 22 58
20 28 123
21 23 3514
21 29 1714
22 23 125
24 25 1
24 28 5
25 29 41
28 29 2521
