from to weight
0 1 45435
0 2 45043
0 4 45108
0 8 45354
0 16 60
1 3 45431
1 17 4
2 3 44912
2 6 47
2 10 35
2 18 49
3 7 25
3 11 101
3 19 90217
4 6 52
4 12 44962
4 20 94
6 14 89
6 22 10
7 15 1
7 23 24
8 9 116
8 12 45237
8 24 1
9 11 50
9 13 11
9 25 55
10 11 23
10 14 12
11 15 25
11 27 149
12 13 144
12 14 107
12 28 89948
13 15 45
13 29 110
14 15 22
14 30 186
15 31 93
16 17 13
16 18 10
16 20 25
16 24 12
17 19 17
18 19 54
18 22 5
19 23 32683
19 27 57605
20 22 1
20 28 118
22 23 2
22 30 14
23 31 32709
24 28 13
25 27 22
25 29 33
27 31 57776
28 29 28052
28 30 62027
29 31 28195
30 31 62227
