,from,to,weight,Joint_Probability,Contional_Probability
0,WT,A,101216,0.10223838383838384,0.24686829268292684
1,WT,B,100913,0.10193232323232324,0.24612926829268292
2,WT,C,101275,0.1022979797979798,0.24701219512195122
3,WT,D,106520,0.10759595959595959,0.2598048780487805
4,WT,E,76,7.676767676767676e-05,0.0001853658536585366
5,A,AB,38149,0.038534343434343435,0.5356801842282634
6,A,AC,10315,0.01041919191919192,0.1448410469557403
7,A,AD,22324,0.02254949494949495,0.3134688833969894
8,A,AE,428,0.00043232323232323235,0.006009885419006965
9,B,AB,35704,0.036064646464646466,0.5034901922073527
10,B,BC,25074,0.025327272727272726,0.35358819962489246
11,B,BD,9883,0.009982828282828283,0.1393679579202685
12,B,BE,252,0.00025454545454545456,0.0035536502474863567
13,AB,ABC,7208,0.0072808080808080804,0.13384583960039367
14,AB,ABD,7892,0.007971717171717171,0.14654708187101925
15,AB,ABE,38753,0.03914444444444445,0.7196070785285871
16,C,AC,23988,0.02423030303030303,0.3365555945282357
17,C,BC,14867,0.015017171717171717,0.20858646089091548
18,C,CD,30893,0.031205050505050506,0.43343388284812345
19,C,CE,1527,0.0015424242424242425,0.02142406173272536
20,AC,ABC,4810,0.004858585858585859,0.33629308536670627
21,AC,ACD,2910,0.0029393939393939396,0.20345382087673913
22,AC,ACE,6583,0.006649494949494949,0.46025309375655454
23,BC,ABC,7107,0.007178787878787879,0.356401384083045
24,BC,BCD,4229,0.004271717171717172,0.21207562308810993
25,BC,BCE,8605,0.008691919191919192,0.4315229928288451
26,ABC,ABCD,14,1.4141414141414141e-05,0.0015342465753424657
27,ABC,ABCE,9111,0.009203030303030303,0.9984657534246575
28,D,AD,11699,0.011817171717171717,0.1528881338212232
29,D,BD,29355,0.02965151515151515,0.3836251960271824
30,D,CD,34778,0.03512929292929293,0.4544955567171981
31,D,DE,688,0.000694949494949495,0.008991113434396236
32,AD,ABD,6420,0.006484848484848485,0.4578192968694288
33,AD,ACD,557,0.0005626262626262626,0.03972045924552521
34,AD,ADE,7046,0.007117171717171717,0.502460243885046
35,BD,ABD,5776,0.005834343434343434,0.3002391100946044
36,BD,BCD,7610,0.007686868686868687,0.3955712652042832
37,BD,BDE,5852,0.005911111111111111,0.3041896247011124
38,ABD,ABCD,31,3.131313131313131e-05,0.0030729579698651863
39,ABD,ABDE,10057,0.010158585858585858,0.9969270420301348
40,CD,ACD,820,0.0008282828282828282,0.017954500667819843
41,CD,BCD,6964,0.007034343434343435,0.15248188128133827
42,CD,CDE,37887,0.03826969696969697,0.8295636180508419
43,ACD,ABCD,34,3.434343434343434e-05,0.007930954047119198
44,ACD,ACDE,4253,0.004295959595959596,0.9920690459528808
45,BCD,ABCD,33,3.3333333333333335e-05,0.0037487220265818473
46,BCD,BCDE,8770,0.008858585858585859,0.9962512779734182
47,ABCD,ABCDE,112,0.00011313131313131313,1.0
48,E,AE,29,2.9292929292929294e-05,0.3815789473684211
49,E,BE,10,1.0101010101010101e-05,0.13157894736842105
50,E,CE,17,1.717171717171717e-05,0.2236842105263158
51,E,DE,20,2.0202020202020203e-05,0.2631578947368421
52,AE,ABE,266,0.00026868686868686866,0.5820568927789934
53,AE,ACE,12,1.2121212121212122e-05,0.0262582056892779
54,AE,ADE,179,0.00018080808080808082,0.3916849015317287
55,BE,ABE,158,0.00015959595959595958,0.6030534351145038
56,BE,BCE,100,0.00010101010101010101,0.3816793893129771
57,BE,BDE,4,4.04040404040404e-06,0.015267175572519083
58,ABE,ABCE,9827,0.009926262626262627,0.5124367732179173
59,ABE,ABDE,9350,0.009444444444444445,0.4875632267820827
60,CE,ACE,496,0.000501010101010101,0.32124352331606215
61,CE,BCE,34,3.434343434343434e-05,0.022020725388601035
62,CE,CDE,1014,0.0010242424242424243,0.6567357512953368
63,ACE,ABCE,4256,0.004298989898989899,0.6001974333662389
64,ACE,ACDE,2835,0.0028636363636363638,0.3998025666337611
65,BCE,ABCE,1950,0.00196969696969697,0.22313765877102643
66,BCE,BCDE,6789,0.006857575757575758,0.7768623412289736
67,ABCE,ABCDE,5144,0.005195959595959596,1.0
68,DE,ADE,60,6.0606060606060605e-05,0.0847457627118644
69,DE,BDE,124,0.00012525252525252524,0.1751412429378531
70,DE,CDE,524,0.0005292929292929293,0.7401129943502824
71,ADE,ABDE,1070,0.0010808080808080809,0.14687714481811942
72,ADE,ACDE,6215,0.006277777777777778,0.8531228551818806
73,BDE,ABDE,4916,0.004965656565656566,0.8220735785953177
74,BDE,BCDE,1064,0.0010747474747474747,0.17792642140468226
75,ABDE,ABCDE,5393,0.005447474747474748,1.0
76,CDE,ACDE,11196,0.01130909090909091,0.5763706563706563
77,CDE,BCDE,8229,0.008312121212121212,0.4236293436293436
78,ACDE,ABCDE,4499,0.004544444444444445,1.0
79,BCDE,ABCDE,4852,0.004901010101010101,1.0
