mcmc_step,log_likelihood,accepts,accepts_lower,rejects,accepts0,accepts0_lower,rejects0,time
0,-7593.788,1,0,0,0,0,0,1.603817e-06 days
1,-7593.788,0.5,0,0.5,0,0,0,3.631339e-06 days
2,-7593.788,0.3333333,0,0.6666667,0,0,0,5.643658e-06 days
3,-7593.788,0.25,0,0.75,0,0,0,7.622821e-06 days
4,-7577.359,0.4,0,0.6,0,0,0,9.580338e-06 days
5,-7550.231,0.5,0,0.5,0,0,0,1.154433e-05 days
6,-7550.231,0.4285714,0,0.5714286,0,0,0,1.355665e-05 days
7,-7550.231,0.375,0,0.625,0,0,0,1.551666e-05 days
8,-7538.14,0.4444444,0,0.5555556,0,0,0,1.747483e-05 days
9,-7538.14,0.4,0,0.6,0,0,0,1.944054e-05 days
10,-7512.815,0.4545455,0,0.5454545,0,0,0,2.141247e-05 days
11,-7512.815,0.4166667,0,0.5833333,0,0,0,2.344166e-05 days
12,-7480.412,0.4615385,0,0.5384615,0,0,0,2.541224e-05 days
13,-7477.501,0.5,0,0.5,0,0,0,2.739053e-05 days
14,-7477.501,0.4666667,0,0.5333333,0,0,0,2.935157e-05 days
15,-7475.352,0.5,0,0.5,0,0,0,3.133289e-05 days
16,-7475.352,0.4705882,0,0.5294118,0,0,0,3.330205e-05 days
17,-7473.518,0.5,0,0.5,0,0,0,3.527177e-05 days
18,-7459.433,0.5263158,0,0.4736842,0,0,0,3.728288e-05 days
19,-7457.179,0.55,0,0.45,0,0,0,3.926772e-05 days
20,-7439.597,0.5714286,0,0.4285714,0,0,0,4.125801e-05 days
21,-7439.597,0.5454545,0,0.4545455,0,0,0,4.32412e-05 days
22,-7438.868,0.5652174,0,0.4347826,0,0,0,4.521625e-05 days
23,-7434.479,0.5833333,0,0.4166667,0,0,0,4.72166e-05 days
24,-7434.479,0.56,0,0.44,0,0,0,4.922179e-05 days
25,-7432.442,0.5769231,0,0.4230769,0,0,0,5.122222e-05 days
26,-7424.978,0.5925926,0,0.4074074,0,0,0,5.322107e-05 days
27,-7424.978,0.5714286,0,0.4285714,0,0,0,5.522232e-05 days
28,-7424.978,0.5517241,0,0.4482759,0,0,0,5.719133e-05 days
29,-7424.978,0.5333333,0,0.4666667,0,0,0,5.91823e-05 days
30,-7424.978,0.516129,0,0.483871,0,0,0,6.120345e-05 days
31,-7424.978,0.5,0,0.5,0,0,0,6.318095e-05 days
32,-7424.978,0.4848485,0,0.5151515,0,0,0,6.517238e-05 days
33,-7424.978,0.4705882,0,0.5294118,0,0,0,6.721405e-05 days
34,-7424.978,0.4571429,0,0.5428571,0,0,0,6.922719e-05 days
35,-7424.978,0.4444444,0,0.5555556,0,0,0,7.122439e-05 days
36,-7424.978,0.4324324,0,0.5675676,0,0,0,7.319212e-05 days
37,-7418.774,0.4473684,0,0.5526316,0,0,0,7.516101e-05 days
38,-7418.774,0.4358974,0,0.5641026,0,0,0,7.710354e-05 days
39,-7418.774,0.425,0,0.575,0,0,0,7.906995e-05 days
40,-7414.199,0.4390244,0,0.5609756,0,0,0,8.103956e-05 days
41,-7410.609,0.452381,0,0.547619,0,0,0,8.299495e-05 days
42,-7410.609,0.4418605,0,0.5581395,0,0,0,8.497536e-05 days
43,-7410.609,0.4318182,0,0.5681818,0,0,0,8.696736e-05 days
44,-7410.609,0.4222222,0,0.5777778,0,0,0,8.891887e-05 days
45,-7397.816,0.4347826,0,0.5652174,0,0,0,9.086742e-05 days
46,-7397.816,0.4255319,0,0.5744681,0,0,0,9.280752e-05 days
47,-7381.865,0.4375,0,0.5625,0,0,0,9.479985e-05 days
48,-7381.865,0.4285714,0,0.5714286,0,0,0,9.680937e-05 days
49,-7378.521,0.44,0,0.56,0,0,0,9.878065e-05 days
50,-7378.521,0.4313725,0,0.5686275,0,0,0,0.0001007422 days
51,-7378.521,0.4230769,0,0.5769231,0,0,0,0.0001027311 days
