0	0 0 0 0	0 0 0 0	0 0 0 0	0 0 0 0
100	-0.02295 -0.2967 -0.1524 -0.1354	0.1963 0.2943 0.152 0.4095	-0.06621 0.1519 0.4966 0.2646	0.01333 0.02562 -0.3399 -0.5998
200	0.133 -0.7799 -0.2002 -0.3983	0.3442 0.4551 0.2827 0.6127	0.1079 0.177 0.3182 0.4866	-0.2882 0.1581 0.009587 -1.035
300	0.4403 -1.13 -0.4971 -0.5231	0.5823 0.408 0.1057 0.7875	0.2968 0.3455 0.376 0.2046	-0.6739 0.4427 0.2036 -1.402
400	0.5962 -1.578 -0.8584 -0.7733	0.773 0.4722 -0.124 1.12	0.1752 0.4673 0.5479 0.2112	-0.4853 0.6595 0.2546 -1.669
500	0.7546 -1.474 -1.012 -0.865	0.9018 0.5987 -0.2023 1.226	0.3762 0.4509 0.6833 0.2368	-0.6501 0.9726 0.4259 -2.032
600	1.033 -1.65 -1.127 -0.9689	1.121 0.7245 -0.2207 1.322	0.3025 0.2928 0.8868 0.1303	-0.5622 1.095 0.5735 -2.032
700	1.024 -1.914 -1.129 -1.251	1.177 0.7837 -0.3063 1.216	0.3237 0.2959 0.9708 0.2224	-0.6631 0.9163 1.316 -2.356
800	1.092 -1.921 -1.19 -1.284	1.11 0.9432 -0.3589 1.415	0.27 0.3452 1.014 0.3085	-0.7028 0.942 1.441 -2.417
900	1.173 -2.318 -1.036 -1.368	1.063 0.741 -0.2565 1.346	-0.05189 0.3867 1.034 0.2504	-0.8166 1.101 1.485 -2.615
1000	1.091 -2.368 -1.023 -1.347	1.124 0.762 -0.2852 1.249	0.0172 0.3694 1.082 0.2757	-0.8034 1.165 1.56 -2.662
1100	1.091 -2.368 -1.023 -1.347	1.124 0.762 -0.2852 1.249	0.0172 0.3694 1.082 0.2757	-0.8034 1.165 1.56 -2.662
1200	1.092 -2.356 -1.029 -1.337	1.118 0.7716 -0.2974 1.27	0.003475 0.357 1.132 0.3025	-0.79 1.176 1.588 -2.703
1300	1.113 -2.486 -0.9087 -1.193	1.222 0.7847 -0.3513 1.401	-0.08986 0.3789 1.187 0.2747	-0.7868 1.196 1.585 -2.785
1400	1.202 -2.532 -0.9479 -1.077	1.221 0.8541 -0.4468 1.389	-0.009464 0.1645 1.119 0.2619	-0.6575 1.245 1.624 -2.784
1500	1.133 -2.383 -0.9164 -1.234	1.236 0.93 -0.5419 1.294	-0.2452 0.3082 1.201 0.1337	-0.8532 1.299 1.627 -2.888
1600	1.194 -2.415 -0.8216 -1.186	1.457 0.9996 -0.5841 1.341	-0.1575 0.3672 1.217 0.1646	-0.8553 1.381 1.711 -3.033
1700	1.204 -2.328 -1.013 -1.098	1.543 0.9375 -0.5725 1.226	-0.02369 0.4869 1.271 0.1143	-0.8539 1.509 1.702 -3.32
