mcmc_step,log_likelihood,accepts,accepts_lower,rejects,accepts0,accepts0_lower,rejects0,time
0,-1684.547,1,0,0,0,0,0,2.283719e-07 days
1,-1684.547,0.5,0,0.5,0,0,0,5.378191e-07 days
2,-1684.547,0.3333333,0,0.6666667,0,0,0,8.403653e-07 days
3,-1684.442,0.5,0,0.5,0,0,0,1.14027e-06 days
4,-1680.072,0.6,0,0.4,0,0,0,1.438543e-06 days
5,-1677.913,0.6666667,0,0.3333333,0,0,0,1.812515e-06 days
6,-1677.913,0.5714286,0,0.4285714,0,0,0,2.110754e-06 days
7,-1678.175,0.625,0.125,0.375,0,0,0,2.412836e-06 days
8,-1678.175,0.5555556,0.1111111,0.4444444,0,0,0,2.709245e-06 days
9,-1677.202,0.6,0.1,0.4,0,0,0,3.006459e-06 days
10,-1676.234,0.6363636,0.09090909,0.3636364,0,0,0,3.309476e-06 days
11,-1676.234,0.5833333,0.08333333,0.4166667,0,0,0,3.606316e-06 days
12,-1676.234,0.5384615,0.07692308,0.4615385,0,0,0,3.902291e-06 days
13,-1676.234,0.5,0.07142857,0.5,0,0,0,4.199358e-06 days
14,-1676.234,0.4666667,0.06666667,0.5333333,0,0,0,4.496171e-06 days
15,-1669.998,0.5,0.0625,0.5,0,0,0,4.796578e-06 days
16,-1669.998,0.4705882,0.05882353,0.5294118,0,0,0,5.094519e-06 days
17,-1669.998,0.4444444,0.05555556,0.5555556,0,0,0,5.403794e-06 days
18,-1669.342,0.4736842,0.05263158,0.5263158,0,0,0,5.703616e-06 days
19,-1664.028,0.5,0.05,0.5,0,0,0,6.003727e-06 days
20,-1662.479,0.5238095,0.04761905,0.4761905,0,0,0,6.304126e-06 days
21,-1659.715,0.5454545,0.04545455,0.4545455,0,0,0,6.599819e-06 days
22,-1659.715,0.5217391,0.04347826,0.4782609,0,0,0,6.897136e-06 days
23,-1659.715,0.5,0.04166667,0.5,0,0,0,7.194265e-06 days
24,-1653.803,0.52,0.04,0.48,0,0,0,7.491427e-06 days
25,-1652.096,0.5384615,0.03846154,0.4615385,0,0,0,7.788958e-06 days
26,-1652.096,0.5185185,0.03703704,0.4814815,0,0,0,8.086202e-06 days
27,-1651.101,0.5357143,0.03571429,0.4642857,0,0,0,8.383337e-06 days
28,-1651.101,0.5172414,0.03448276,0.4827586,0,0,0,8.68294e-06 days
29,-1650.033,0.5333333,0.03333333,0.4666667,0,0,0,8.983725e-06 days
30,-1650.033,0.516129,0.03225806,0.483871,0,0,0,9.282343e-06 days
31,-1650.033,0.5,0.03125,0.5,0,0,0,9.57867e-06 days
32,-1650.033,0.4848485,0.03030303,0.5151515,0,0,0,9.877675e-06 days
33,-1647.753,0.5,0.02941176,0.5,0,0,0,1.01753e-05 days
34,-1647.005,0.5142857,0.02857143,0.4857143,0,0,0,1.047754e-05 days
35,-1647.005,0.5,0.02777778,0.5,0,0,0,1.077398e-05 days
36,-1646.66,0.5135135,0.02702703,0.4864865,0,0,0,1.10764e-05 days
37,-1646.309,0.5263158,0.02631579,0.4736842,0,0,0,1.137322e-05 days
38,-1643.996,0.5384615,0.02564103,0.4615385,0,0,0,1.16743e-05 days
39,-1643.996,0.525,0.025,0.475,0,0,0,1.197065e-05 days
40,-1643.926,0.5365854,0.02439024,0.4634146,0,0,0,1.22811e-05 days
41,-1639.858,0.547619,0.02380952,0.452381,0,0,0,1.258313e-05 days
42,-1639.858,0.5348837,0.02325581,0.4651163,0,0,0,1.288476e-05 days
43,-1639.858,0.5227273,0.02272727,0.4772727,0,0,0,1.318241e-05 days
44,-1639.858,0.5111111,0.02222222,0.4888889,0,0,0,1.348634e-05 days
45,-1639.858,0.5,0.02173913,0.5,0,0,0,1.378254e-05 days
46,-1639.858,0.4893617,0.0212766,0.5106383,0,0,0,1.408083e-05 days
47,-1640.286,0.5,0.04166667,0.5,0,0,0,1.437878e-05 days
48,-1640.286,0.4897959,0.04081633,0.5102041,0,0,0,1.468612e-05 days
49,-1640.286,0.48,0.04,0.52,0,0,0,1.498328e-05 days
50,-1635.885,0.4901961,0.03921569,0.5098039,0,0,0,1.528851e-05 days
51,-1635.885,0.4807692,0.03846154,0.5192308,0,0,0,1.558592e-05 days
52,-1632.925,0.490566,0.03773585,0.509434,0,0,0,1.588956e-05 days
53,-1632.925,0.4814815,0.03703704,0.5185185,0,0,0,1.61855e-05 days
54,-1632.925,0.4727273,0.03636364,0.5272727,0,0,0,1.649056e-05 days
55,-1632.925,0.4642857,0.03571429,0.5357143,0,0,0,1.678652e-05 days
56,-1632.925,0.4561404,0.03508772,0.5438596,0,0,0,1.708835e-05 days
57,-1633.179,0.4655172,0.05172414,0.5344828,0,0,0,1.738561e-05 days
58,-1630.991,0.4745763,0.05084746,0.5254237,0,0,0,1.768829e-05 days
59,-1630.991,0.4666667,0.05,0.5333333,0,0,0,1.798459e-05 days
60,-1630.991,0.4590164,0.04918033,0.5409836,0,0,0,1.828833e-05 days
61,-1629.944,0.4677419,0.0483871,0.5322581,0,0,0,1.858491e-05 days
62,-1629.844,0.4761905,0.04761905,0.5238095,0,0,0,1.888284e-05 days
63,-1630.602,0.484375,0.0625,0.515625,0,0,0,1.919748e-05 days
64,-1627.146,0.4923077,0.06153846,0.5076923,0,0,0,1.949653e-05 days
65,-1627.146,0.4848485,0.06060606,0.5151515,0,0,0,1.979657e-05 days
66,-1627.146,0.4776119,0.05970149,0.5223881,0,0,0,2.009427e-05 days
