mcmc_step,log_likelihood,accepts,accepts_lower,rejects,accepts0,accepts0_lower,rejects0,time
0,-69.31472,1,0,0,0,0,0,1.633832e-07 days
1,-69.31495,1,0.5,0,0,0,0,3.1896e-07 days
2,-69.31563,1,0.6666667,0,0,0,0,4.678683e-07 days
3,-69.33243,1,0.75,0,0,0,0,6.215068e-07 days
4,-69.31842,1,0.6,0,0,0,0,7.734418e-07 days
5,-69.31736,1,0.5,0,0,0,0,9.286564e-07 days
6,-69.31866,1,0.5714286,0,0,0,0,1.094807e-06 days
7,-69.31481,1,0.5,0,0,0,0,1.249852e-06 days
8,-69.31655,1,0.5555556,0,0,0,0,1.408518e-06 days
9,-69.31905,1,0.6,0,0,0,0,1.570294e-06 days
10,-69.32531,1,0.6363636,0,0,0,0,1.726611e-06 days
11,-69.31967,1,0.5833333,0,0,0,0,1.877632e-06 days
12,-69.32949,1,0.6153846,0,0,0,0,2.034318e-06 days
13,-69.32082,1,0.5714286,0,0,0,0,2.194855e-06 days
14,-69.3305,1,0.6,0,0,0,0,2.354641e-06 days
15,-69.32976,1,0.5625,0,0,0,0,2.51111e-06 days
16,-69.32443,1,0.5294118,0,0,0,0,2.680648e-06 days
17,-69.31632,1,0.5,0,0,0,0,2.841396e-06 days
18,-69.32056,1,0.5263158,0,0,0,0,3.023422e-06 days
19,-69.31554,1,0.5,0,0,0,0,3.199775e-06 days
20,-69.33458,1,0.5238095,0,0,0,0,3.369281e-06 days
21,-69.33361,1,0.5,0,0,0,0,3.534522e-06 days
22,-69.38254,1,0.5217391,0,0,0,0,3.718746e-06 days
23,-69.35723,1,0.5,0,0,0,0,3.88614e-06 days
24,-69.35992,1,0.52,0,0,0,0,4.075898e-06 days
25,-69.33058,1,0.5,0,0,0,0,4.270174e-06 days
26,-69.3217,1,0.4814815,0,0,0,0,4.441169e-06 days
27,-69.31593,1,0.4642857,0,0,0,0,4.604478e-06 days
28,-69.32619,1,0.4827586,0,0,0,0,4.764801e-06 days
29,-69.35394,1,0.5,0,0,0,0,4.921371e-06 days
