mcmc_step,log_likelihood,accepts,accepts_lower,rejects,accepts0,accepts0_lower,rejects0,time
0,-242.6015,1,0,0,0,0,0,1.996792e-07 days
1,-242.6015,0.5,0,0.5,0,0,0,4.17307e-07 days
2,-240.9961,0.6666667,0,0.3333333,0,0,0,6.071634e-07 days
3,-237.431,0.75,0,0.25,0,0,0,8.400189e-07 days
4,-237.431,0.6,0,0.4,0,0,0,1.03071e-06 days
5,-237.431,0.5,0,0.5,0,0,0,1.206245e-06 days
6,-237.8244,0.5714286,0.1428571,0.4285714,0,0,0,1.395216e-06 days
7,-235.3483,0.625,0.125,0.375,0,0,0,1.590483e-06 days
8,-234.2299,0.6666667,0.1111111,0.3333333,0,0,0,1.767471e-06 days
9,-233.457,0.7,0.1,0.3,0,0,0,1.946376e-06 days
10,-232.2199,0.7272727,0.09090909,0.2727273,0,0,0,2.11545e-06 days
11,-232.2199,0.6666667,0.08333333,0.3333333,0,0,0,2.293671e-06 days
12,-232.2199,0.6153846,0.07692308,0.3846154,0,0,0,2.455205e-06 days
13,-230.7828,0.6428571,0.07142857,0.3571429,0,0,0,2.636136e-06 days
14,-224.218,0.6666667,0.06666667,0.3333333,0,0,0,2.817146e-06 days
15,-224.3114,0.6875,0.125,0.3125,0,0,0,2.973548e-06 days
16,-224.3114,0.6470588,0.1176471,0.3529412,0,0,0,3.155556e-06 days
17,-224.3114,0.6111111,0.1111111,0.3888889,0,0,0,3.330629e-06 days
18,-223.1683,0.6315789,0.1052632,0.3684211,0,0,0,3.517187e-06 days
19,-223.1683,0.6,0.1,0.4,0,0,0,3.682508e-06 days
20,-223.1683,0.5714286,0.0952381,0.4285714,0,0,0,3.885939e-06 days
21,-223.06,0.5909091,0.09090909,0.4090909,0,0,0,4.109361e-06 days
22,-223.06,0.5652174,0.08695652,0.4347826,0,0,0,4.33901e-06 days
23,-221.3744,0.5833333,0.08333333,0.4166667,0,0,0,4.556555e-06 days
24,-221.5732,0.6,0.12,0.4,0,0,0,4.856034e-06 days
