0	0 0 0 0	0 0 0 0	0 0 0 0	0 0 0 0
100	0.6189 0.1046 0.08157 0.04735	-0.03736 0.1164 0.2588 0.3382	0.02361 -0.1359 0.08824 0.06591	-0.04745 -0.08443 -0.3124 -0.6837
200	1.167 0.2895 0.1966 -0.07263	-0.07401 0.505 0.4065 0.382	-0.07185 -0.04091 -0.4871 0.3575	-0.4278 -0.4274 -0.3874 -1.284
300	2.146 0.4297 0.2598 -0.1023	0.2281 0.4198 0.07409 0.6571	0.1317 0.09115 -0.7849 -0.06347	-0.875 -0.7177 -0.2975 -1.566
400	2.623 0.3154 0.2041 -0.4637	0.4652 0.4701 -0.2382 1.022	-0.0142 0.1492 -1.07 -0.2779	-1.041 -0.8455 -0.4131 -1.511
500	3.007 0.635 0.1904 -0.4499	0.6562 0.8544 -0.1712 0.9351	0.2465 0.1135 -1.116 -0.2553	-1.473 -1.146 -0.3354 -1.842
600	3.402 0.8085 0.3403 -0.4304	1.124 0.8215 0.1313 0.8968	0.1221 0.115 -0.8731 -0.5912	-1.386 -1.269 -0.3082 -1.836
700	3.617 0.6064 0.5613 -1.086	1.23 0.8783 0.3336 0.6578	-0.1158 0.08138 -1.132 -0.8469	-1.586 -1.469 0.08014 -2.159
800	3.62 0.8342 0.497 -1.379	1.339 0.8492 -0.1376 0.6574	-0.156 0.4044 -1.413 -0.8418	-1.902 -1.821 0.2517 -2.007
900	3.796 0.8215 0.7824 -1.129	0.7889 0.4794 0.0577 0.6437	-0.5428 0.1547 -1.357 -0.8838	-2.046 -1.658 0.2822 -2.142
1000	3.628 0.9047 0.3568 -0.9331	1.332 0.4309 -0.1836 0.5355	-0.2416 0.3792 -1.191 -0.7377	-1.956 -1.546 0.1939 -2.613
1100	3.797 0.7511 0.3243 -0.4346	1.26 0.8219 -0.06554 0.3895	-0.1921 0.2873 -1.33 -0.6424	-1.988 -1.481 0.1848 -2.668
1200	3.98 1.024 -0.09519 -0.6096	1.723 0.7249 0.08599 0.2248	-0.4037 0.5988 -1.349 -0.8268	-2.42 -1.46 0.5581 -2.74
1300	4.136 0.6251 -0.4166 -0.815	2.521 0.2452 0.363 0.3467	-0.4169 0.5429 -1.074 -1.114	-2.227 -2.182 0.6877 -2.573
1400	4.043 0.7026 -0.4921 -0.6773	2.479 0.1639 0.2445 0.3667	-0.4214 -0.05713 -1.152 -1.094	-2.069 -2.112 0.5272 -2.409
1500	4.141 0.6236 -0.7862 -0.8142	2.608 0.1194 0.02998 0.4925	-0.7474 -0.1131 -1.286 -1.145	-2.308 -2.349 0.2792 -2.31
1600	4.193 0.5675 -0.6609 -0.3363	3.118 0.405 0.4212 0.619	-0.9353 -0.4337 -1.338 -1.109	-1.937 -2.055 0.2951 -2.762
1700	4.392 1.006 -1.004 -0.2755	3 0.3578 0.8788 0.4728	-0.9845 -0.1691 -1.347 -0.8461	-1.846 -1.681 -0.1854 -3.274
1800	4.303 0.9584 -0.8215 0.3568	3.169 0.1852 0.8156 0.1943	-0.7512 -0.1168 -1.361 -0.805	-1.5 -2.031 -0.3792 -3.277
1900	4.388 1.153 -1.032 0.2766	3.28 -0.482 1.163 0.1552	-0.4375 -0.4436 -1.413 -1.295	-1.685 -2.544 -0.5026 -2.918
2000	4.887 1.299 -0.9737 0.2987	3.22 -0.6997 1.332 0.39	-0.1614 -0.5604 -1.074 -1.069	-1.563 -2.954 -0.4989 -3.081
