,from,to,weight,Joint_Probability,Contional_Probability
0,WT,A,49997,0.5555222222222223,0.99994
1,WT,B,1,1.1111111111111112e-05,2e-05
2,WT,C,2,2.2222222222222223e-05,4e-05
3,A,AB,14971,0.16634444444444443,0.49908324165749907
4,A,AC,14977,0.16641111111111112,0.49928326165949927
5,A,AD,49,0.0005444444444444444,0.0016334966830016335
6,B,AB,1,1.1111111111111112e-05,1.0
7,AB,ABD,4972,0.05524444444444444,1.0
8,C,AC,2,2.2222222222222223e-05,1.0
9,AC,ACD,4979,0.055322222222222224,1.0
10,AD,ABD,28,0.0003111111111111111,0.5714285714285714
11,AD,ACD,21,0.00023333333333333333,0.42857142857142855
