0	0 0 0 0	0 0 0 0	0 0 0 0	0 0 0 0
100	0.06311 -0.2507 -0.1536 -0.03572	0.07133 -0.03368 -0.2241 0.1178	-0.3983 -0.2375 0.3288 0.2224	0.05978 -0.01567 0.4375 -0.521
200	0.1534 -0.1342 -0.03414 0.005238	0.2954 0.07279 -0.253 0.168	-0.6861 -0.3239 0.3722 0.3931	0.2436 0.05713 1.064 -0.7787
300	0.2621 -0.1337 -0.1763 -0.3459	0.1149 0.1684 -0.8435 0.309	-0.8829 -0.4523 0.603 0.3008	0.3447 0.08112 1.38 -1.024
400	0.4111 -0.2181 -0.4241 -0.4238	0.1511 0.3557 -0.9067 0.5849	-0.9118 -0.6013 0.7748 0.3504	0.5854 0.2878 1.773 -1.353
500	0.4815 0.04183 -0.6657 -0.4479	0.06103 0.3683 -1.04 0.4143	-0.9419 -0.632 0.8601 0.425	0.6389 0.5132 1.853 -1.597
600	0.6289 0.06729 -0.6052 -0.5289	0.2809 0.6206 -1.033 0.4758	-1.117 -0.69 1.138 0.4122	0.7746 0.6113 2.033 -1.569
700	0.7096 -0.3704 -0.4403 -0.8897	0.07982 0.7269 -1.219 0.2918	-1.277 -0.7436 1.088 0.5155	0.773 0.5637 2.534 -1.814
800	0.662 -0.3642 -0.3973 -0.9629	0.04919 0.8401 -1.421 0.2895	-1.276 -0.683 1.154 0.5028	0.9392 0.556 2.715 -1.879
900	0.6099 -0.4169 -0.425 -1.114	-0.03294 0.6244 -1.376 0.1846	-1.482 -0.7046 1.074 0.4472	1.108 0.559 2.655 -2.087
1000	0.5959 -0.2897 -0.6226 -1.044	0.1943 0.6513 -1.458 0.07835	-1.382 -0.5702 1.072 0.6337	1.064 0.9677 2.783 -2.376
1100	0.7134 -0.3154 -0.5592 -0.7955	0.04279 0.8163 -1.414 -0.04723	-1.502 -0.7024 1.154 0.5083	1.048 1.146 3.249 -2.654
1200	0.9188 -0.3525 -0.8209 -0.8618	0.06293 0.7428 -1.532 -0.1488	-1.594 -0.5577 1.228 0.434	1.077 1.138 3.475 -2.67
1300	0.9074 -0.5256 -0.7525 -0.8246	0.1609 0.8216 -1.489 -0.1665	-1.578 -0.4784 1.201 0.3438	1.306 1.052 3.522 -2.792
1400	0.913 -0.4289 -0.9113 -0.7041	0.01655 0.9428 -1.565 0.1938	-1.524 -0.5404 1.233 0.3514	1.673 1.08 3.632 -2.881
1500	0.9169 -0.4229 -1.01 -0.6659	-0.0923 0.821 -1.785 0.08568	-1.584 -0.4642 1.195 0.3862	1.669 1.042 3.673 -3.201
1600	0.718 -0.4231 -0.9705 -0.6754	-0.1742 0.8348 -1.871 0.001617	-1.703 -0.6823 1.191 0.5396	1.516 1.144 3.578 -3.253
1700	0.8611 -0.4054 -1.228 -0.5495	-0.1667 0.8182 -2.022 -0.1043	-1.634 -0.5924 1.221 0.5548	1.667 1.356 3.585 -3.437
1800	0.7366 -0.5018 -1.127 -0.2154	-0.005023 0.798 -1.982 -0.06083	-1.518 -0.726 1.148 0.4445	1.709 1.298 3.659 -3.445
1900	0.7934 -0.4638 -1.088 -0.4223	0.1355 0.7849 -1.862 -0.07583	-1.432 -0.8128 1.14 0.2882	1.565 1.431 3.777 -3.492
2000	0.8163 -0.38 -1.112 -0.3283	-0.03425 0.8712 -1.949 0.1758	-1.541 -0.9099 1.237 0.385	1.653 1.322 3.709 -3.505
2100	0.8482 -0.3751 -1.19 -0.1706	-0.3287 0.9494 -1.762 0.2263	-1.558 -0.9278 1.289 0.2873	1.677 1.217 3.724 -3.417
2200	0.8849 -0.4184 -1.287 -0.05224	-0.4657 0.9561 -1.932 0.2331	-1.559 -0.8167 1.315 0.2194	1.564 1.292 3.853 -3.328
2300	0.9632 -0.4554 -1.323 -0.01035	-0.4573 1.004 -1.926 0.3452	-1.628 -0.7098 1.292 0.1735	1.556 1.329 3.821 -3.424
2400	1.07 -0.433 -1.362 0.006041	-0.5315 1.069 -1.858 0.3181	-1.688 -0.7859 1.449 0.1503	1.619 1.31 3.739 -3.435
2500	1.094 -0.4919 -1.379 -0.01014	-0.4592 1.076 -1.875 0.1627	-1.769 -0.7919 1.47 0.2385	1.679 1.181 3.719 -3.429
2600	1.059 -0.5506 -1.379 0.1419	-0.6567 1.1 -1.972 0.1072	-1.792 -0.929 1.401 0.1762	1.581 1.179 3.715 -3.422
2700	1.063 -0.6523 -1.398 0.2594	-0.7734 1.078 -1.932 0.06717	-1.788 -0.8742 1.384 -0.05339	1.58 1.073 3.748 -3.324
2800	1.133 -0.6566 -1.45 0.296	-0.8603 1.108 -1.938 0.1795	-1.727 -0.7082 1.348 -0.05402	1.565 1.03 3.962 -3.491
2900	1.08 -0.7401 -1.376 0.3075	-0.85 1.038 -1.868 0.4546	-1.681 -0.7661 1.265 -0.2919	1.685 0.9833 3.927 -3.448
3000	1.001 -0.5943 -1.431 0.4975	-0.9228 1.057 -1.851 0.5314	-1.78 -0.8488 1.227 -0.3986	1.751 1 4.161 -3.652
3100	1.013 -0.5214 -1.283 0.3977	-0.9197 1.039 -1.69 0.4804	-1.692 -0.932 1.275 -0.4582	1.823 1.048 4.351 -3.631
3200	1.008 -0.4962 -1.037 0.2911	-0.9805 1.124 -1.58 0.2387	-1.608 -0.7782 1.357 -0.6602	1.918 1.17 4.48 -3.607
3300	1.069 -0.4378 -1.108 0.3358	-1.041 1.137 -1.503 0.1865	-1.608 -0.7557 1.366 -0.5959	2.005 1.221 4.556 -3.678
3400	0.9432 -0.5292 -1.064 0.4375	-0.9787 1.105 -1.521 0.09671	-1.668 -0.7822 1.324 -0.7773	1.958 1.1 4.583 -3.821
3500	0.9363 -0.5068 -1.104 0.461	-0.9538 1.104 -1.421 0.0603	-1.625 -0.7827 1.266 -0.6429	1.913 1.196 4.626 -3.735
3600	0.8838 -0.6475 -0.9509 0.396	-0.9785 1.01 -1.65 0.07628	-1.596 -0.7487 1.113 -0.5352	1.776 1.295 4.791 -3.823
3700	0.9353 -0.5456 -1.048 0.1797	-1.139 1.003 -1.563 0.143	-1.563 -0.8512 1.159 -0.4118	1.747 1.437 4.785 -3.849
3800	0.9025 -0.5796 -0.9982 0.2404	-1.129 1.017 -1.421 0.438	-1.555 -0.8604 1.226 -0.3658	1.838 1.378 4.772 -3.935
3900	0.8697 -0.6877 -1.32 0.3528	-1.183 0.8963 -1.363 0.6623	-1.402 -1.025 1.137 -0.1299	1.795 1.451 4.953 -3.961
4000	0.9136 -0.8082 -1.468 0.4035	-1.108 0.8107 -1.444 0.7538	-1.284 -0.9298 1.008 -0.2194	1.839 1.423 5.161 -4.015
4100	0.9394 -0.8444 -1.461 0.4056	-1.135 0.8128 -1.466 0.6934	-1.238 -0.9151 1.005 -0.263	1.838 1.381 5.2 -4.08
4200	0.9227 -0.8575 -1.397 0.4578	-1.118 0.8916 -1.442 0.7871	-1.257 -0.9003 1.002 -0.3148	1.85 1.355 5.18 -4.049
4300	0.9042 -0.7543 -1.272 0.4284	-1.141 0.872 -1.484 0.5935	-1.311 -0.9196 1.004 -0.2198	1.813 1.568 5.233 -4.022
4400	0.9428 -0.935 -1.201 0.2703	-1.306 0.9256 -1.648 0.7055	-1.491 -0.8634 1.051 -0.4159	1.691 1.658 5.362 -4.048
