from to weight
0 1 45550
0 2 45063
0 4 44978
0 8 45378
0 16 31
1 3 45545
1 17 5
2 3 44921
2 6 28
2 10 22
2 18 92
3 7 44
3 11 118
3 19 90304
4 6 24
4 12 44913
4 20 41
6 14 42
6 22 10
7 23 44
8 9 61
8 12 45317
9 11 27
9 13 6
9 25 28
10 11 16
10 14 6
11 15 33
11 27 128
12 13 88
12 14 71
12 28 90071
13 15 32
13 29 62
14 15 7
14 30 112
15 31 72
16 17 4
16 18 2
16 20 23
16 24 2
17 19 9
18 19 58
18 22 36
19 23 55872
19 27 34499
20 28 64
22 23 1
22 30 45
23 31 55917
24 25 1
24 28 1
25 27 12
25 29 17
27 31 34639
28 29 19803
28 30 70333
29 31 19882
30 31 70490
