0	0 0 0 0 0	0 0 0 0 0	0 0 0 0 0	0 0 0 0 0	0 0 0 0 0
100	0.196 0.4002 0.008088 -0.113 -0.01097	0.06277 0.1445 0.1372 -0.3571 -0.1337	-0.2983 0.02544 0.1773 0.01067 -0.03708	-0.0864 -0.2089 0.01527 0.2032 0.04684	0.2732 0.1552 0.05204 0.7681 -0.6681
200	-0.02681 0.461 -0.266 -0.3894 -0.1214	0.1321 0.2514 0.08334 -0.3892 -0.4503	-0.6572 -0.2315 0.08659 0.1513 -0.119	-0.2845 -0.4665 -0.1848 0.1886 0.01694	0.673 0.1709 0.674 0.8099 -1.102
300	0.1235 0.6545 -0.3612 -0.7512 -0.1417	-0.0956 0.3282 -0.2532 -0.2468 -0.4486	-0.8992 -0.331 0.1709 0.3587 0.01355	-0.6674 -0.5718 -0.111 0.3319 0.1242	0.5663 0.3466 0.8495 1.038 -1.444
400	0.4571 0.4784 -0.4803 -0.7913 -0.1282	-0.2183 0.4454 -0.263 -0.2798 -0.4825	-0.7807 -0.4908 0.3411 0.3852 -0.07364	-0.6755 -0.6854 -0.4014 0.5139 0.223	0.7012 0.6908 0.811 1.194 -1.666
500	0.4073 0.9496 -0.2734 -1.172 -0.04807	-0.19 0.4582 -0.1961 -0.3124 -0.7452	-0.9564 -0.6419 0.521 0.04941 0.03365	-0.5392 -0.7288 -0.3205 0.6046 0.5116	0.8716 0.8817 0.9978 1.395 -1.805
600	0.458 0.9829 -0.3926 -1.334 -0.02628	-0.2036 0.5875 -0.204 -0.3452 -0.658	-1.079 -0.6031 0.5942 0.2279 -0.06648	-0.6037 -0.7299 -0.3463 0.6404 0.6071	1.071 1.139 1.17 1.53 -2.283
700	0.6086 0.9999 -0.5192 -1.45 0.1114	-0.3103 0.636 -0.2875 -0.3412 -0.7442	-1.103 -0.7618 0.6735 0.2061 0.2148	-0.6391 -0.9366 -0.3558 0.7194 0.6475	1.154 1.175 1.396 1.511 -2.502
800	0.6451 0.8992 -0.4803 -1.533 0.1823	-0.3615 0.6174 -0.1849 -0.1154 -0.8921	-1.057 -0.7138 0.752 0.3698 0.1376	-0.6779 -0.8154 -0.431 0.6786 0.6582	1.205 1.267 1.489 1.636 -2.526
900	0.752 0.8772 -0.5092 -1.471 0.01257	-0.2322 0.6602 -0.3149 -0.3439 -0.8071	-1.159 -0.6151 0.7378 0.2236 0.04155	-0.6674 -0.788 -0.5062 0.7599 0.6293	1.247 1.353 1.737 1.627 -2.653
1000	0.752 0.9051 -0.5556 -1.469 -0.00578	-0.1847 0.6459 -0.2758 -0.3429 -0.8565	-1.129 -0.5693 0.7548 0.2617 0.04616	-0.7361 -0.7806 -0.4974 0.8443 0.6015	1.279 1.436 1.708 1.572 -2.688
1100	0.7705 0.9312 -0.5398 -1.513 -0.00574	-0.1684 0.6791 -0.3043 -0.3519 -0.871	-1.161 -0.5798 0.7439 0.2587 0.06343	-0.7155 -0.8088 -0.496 0.8588 0.6504	1.284 1.437 1.727 1.561 -2.677
1200	0.6659 0.7649 -0.4874 -1.342 -0.2456	-0.118 0.7193 -0.546 -0.3928 -0.9234	-1.275 -0.5383 0.7699 0.3145 0.1605	-0.6071 -0.8181 -0.5207 0.8396 0.6448	1.531 1.471 1.721 1.636 -2.959
1300	0.6419 0.6791 -0.4461 -1.26 -0.2116	-0.09037 0.8545 -0.8011 -0.4052 -0.9568	-1.361 -0.5921 0.8229 0.2249 0.2533	-0.5551 -0.8872 -0.6749 0.802 0.6439	1.588 1.45 1.718 1.752 -2.985
1400	0.9388 0.4961 -0.4236 -1.52 -0.1411	0.101 1.041 -0.9668 -0.552 -0.9935	-1.469 -0.2095 0.9763 0.0305 0.2144	-0.5832 -1.106 -0.5909 1.147 0.511	1.713 1.667 1.809 1.93 -3.122
1500	0.9303 0.453 -0.3934 -1.649 -0.1055	0.0974 0.9309 -0.8709 -0.551 -0.9959	-1.462 -0.1194 0.8798 0.007438 0.1455	-0.6156 -1.066 -0.5455 1.095 0.5024	1.79 1.754 1.832 2.144 -3.346
1600	0.8752 0.4303 -0.4734 -1.594 -0.0304	0.04448 0.9306 -0.8123 -0.4607 -1.142	-1.432 -0.1447 0.8773 0.1166 0.09896	-0.5876 -1.14 -0.5133 0.9932 0.4354	1.86 1.774 1.972 2.093 -3.547
1700	1.015 0.2568 -0.5848 -1.635 0.1171	0.04497 0.9621 -0.8486 -0.4382 -1.199	-1.547 -0.3296 0.8989 0.06623 0.2924	-0.4515 -1.36 -0.4479 1.099 0.3761	1.938 1.964 2.064 2.262 -3.671
1800	1.064 0.2926 -0.5507 -1.878 0.141	0.1475 0.9808 -0.8569 -0.4591 -1.296	-1.59 -0.3243 0.9941 0.1483 0.2621	-0.3241 -1.403 -0.4776 1.037 0.4883	1.886 1.912 2.092 2.203 -3.618
1900	1.02 0.2986 -0.5349 -1.87 0.1178	0.1418 1.021 -0.9064 -0.4646 -1.303	-1.621 -0.3389 0.9752 0.163 0.2252	-0.309 -1.363 -0.4874 1.062 0.5642	1.902 1.918 2.13 2.189 -3.666
2000	0.9206 0.2779 -0.3229 -1.972 -0.02039	0.1559 0.9752 -0.9955 -0.369 -1.317	-1.703 -0.2279 0.9295 0.07312 0.2015	-0.3951 -1.34 -0.5556 1.062 0.4745	1.999 1.851 2.24 2.177 -3.714
2100	0.9737 0.2732 -0.3833 -1.986 -0.06778	0.03888 0.9522 -0.9468 -0.4254 -1.196	-1.79 -0.259 0.8825 0.1278 0.2088	-0.3308 -1.491 -0.5037 1.027 0.4778	2.023 1.841 2.332 2.177 -3.831
2200	1.016 0.2685 -0.3645 -2.168 -0.05772	0.05468 0.9944 -0.9292 -0.5539 -1.118	-1.694 -0.2001 0.9291 0.2105 0.1071	-0.3954 -1.397 -0.5006 1.008 0.3668	2.062 1.869 2.275 2.111 -3.899
2300	0.9871 0.1992 -0.3389 -2.148 -0.03013	0.006433 0.9964 -0.9376 -0.5744 -1.129	-1.769 -0.1528 0.8989 0.1286 0.09652	-0.4674 -1.444 -0.4753 1.033 0.4405	2.05 1.819 2.183 2.095 -3.87
2400	1.063 0.1494 -0.3805 -2.033 0.09517	0.0983 1.008 -0.9182 -0.4968 -1.161	-1.797 -0.09175 0.9402 0.06651 0.1132	-0.5329 -1.273 -0.2859 1.043 0.6614	2.071 2.181 2.337 2.129 -3.948
2500	1.055 0.1233 -0.4064 -2.074 0.07356	0.1473 0.9338 -0.9329 -0.5126 -1.264	-1.825 -0.1311 0.9223 0.06965 0.1308	-0.5886 -1.248 -0.3057 1.046 0.716	2.192 2.186 2.396 2.169 -4
2600	1.003 0.1254 -0.4033 -2.063 0.08635	0.1145 0.9463 -0.9604 -0.495 -1.242	-1.825 -0.1646 0.9982 0.04996 0.1696	-0.5882 -1.232 -0.3073 1.033 0.7067	2.184 2.203 2.405 2.187 -3.996
2700	1.057 0.1534 -0.4883 -2.255 0.1982	0.1747 0.9408 -1.121 -0.5282 -1.356	-1.993 -0.2861 1.121 -0.1282 0.1003	-0.4952 -1.207 -0.3328 0.958 0.8281	2.168 2.179 2.435 2.093 -4.188
