0	0 0 0 0	0 0 0 0	0 0 0 0	0 0 0 0
100	-0.1024 -0.2159 -0.05773 -0.01965	0.06624 0.3203 0.3044 0.1884	0.06185 0.165 0.6742 0.2692	0.03096 -0.1178 -0.4851 -0.5748
200	-0.09189 -0.536 -0.3041 -0.3074	0.08177 0.8069 0.664 0.3419	0.06275 0.4787 0.7458 0.5921	-0.3101 -0.4252 -0.5073 -1.007
300	0.1144 -0.8406 -0.6591 -0.4323	0.2569 0.7093 0.6227 0.496	0.4408 0.7758 0.8505 0.3723	-0.5583 -0.2999 -0.4435 -1.255
400	0.3682 -1.156 -1.051 -0.8322	0.3387 0.8098 0.6206 0.8308	0.3755 0.6062 0.9828 0.4234	-0.3925 -0.1509 -0.467 -1.522
500	0.5642 -1.217 -1.426 -0.9515	0.2693 0.8695 0.7523 0.8846	0.6616 0.6547 1.08 0.4809	-0.6432 -0.1718 -0.3971 -2.084
600	0.784 -1.263 -1.747 -1.064	0.5188 1.007 1.002 0.9884	0.8854 0.7032 1.423 0.2065	-0.7379 -0.08218 -0.2386 -2.115
700	1.001 -1.653 -1.699 -1.673	0.4436 1.177 1.08 0.6818	0.9501 0.7694 1.381 0.1431	-0.9132 -0.2197 0.2338 -2.508
800	0.9452 -1.742 -1.858 -1.745	0.3976 1.189 1.207 0.7223	0.7915 0.9859 1.437 0.3567	-0.8556 -0.3826 0.3881 -2.575
900	1.056 -1.823 -1.629 -1.735	0.1255 1.036 1.546 0.4229	0.4988 1.012 1.575 0.5212	-0.9538 -0.313 0.558 -2.764
1000	1.047 -1.686 -2.002 -1.639	0.2322 1.061 1.652 0.4776	0.721 1.176 1.567 0.661	-0.8444 -0.323 0.5003 -3.052
1100	1.195 -1.716 -1.983 -1.268	-0.09108 1.54 1.78 0.2381	0.5779 1.331 1.557 0.5982	-0.8599 -0.1184 0.6121 -3.314
1200	1.29 -1.688 -2.201 -1.445	0.219 1.364 1.806 0.2325	0.5968 1.464 1.672 0.4314	-0.9339 -0.1585 0.9558 -3.461
1300	1.455 -1.863 -2.369 -1.641	0.6959 1.253 2.082 0.417	0.6237 1.318 1.708 0.401	-0.7174 -0.5579 1.197 -3.455
1400	1.459 -1.647 -2.639 -1.575	0.4374 1.545 2.007 0.3277	0.7857 1.07 1.763 0.4517	-0.4479 -0.5711 1.08 -3.49
1500	1.489 -1.735 -2.961 -1.559	0.4671 1.467 2.051 0.3341	0.5258 0.8939 1.812 0.3711	-0.6069 -0.6303 0.7082 -3.375
1600	1.508 -1.968 -2.896 -1.314	0.6648 1.591 2.153 0.2655	0.3745 0.8397 1.895 0.3757	-0.7441 -0.6251 0.6901 -3.498
1700	1.629 -1.761 -3.088 -1.34	0.5965 1.577 2.47 0.1763	0.3707 0.8957 1.877 0.475	-0.6918 -0.3432 0.7079 -3.79
1800	1.466 -1.877 -2.874 -1.003	0.718 1.512 2.453 0.1079	0.4552 0.9414 1.842 0.3917	-0.6551 -0.4021 0.6354 -3.626
1900	1.558 -1.817 -3.022 -1.047	0.9041 1.267 2.622 0.04744	0.5959 1.021 1.868 0.3221	-0.6632 -0.4726 0.6689 -3.472
2000	1.464 -1.822 -3.136 -0.8402	0.6707 1.403 2.648 0.05193	0.8185 0.8545 1.871 0.5066	-0.7637 -0.7341 0.5042 -3.521
2100	1.661 -1.955 -3.138 -0.5606	0.7426 1.662 3.035 0.07559	0.7353 0.7432 2.064 0.4779	-0.7047 -0.7341 0.5558 -3.434
2200	1.637 -2.058 -3.188 -0.4366	0.7445 1.513 2.729 0.04386	0.5254 0.9583 2.084 0.5465	-0.591 -0.7688 0.4193 -3.435
2300	1.655 -2.174 -3.25 -0.4863	0.793 1.799 2.818 0.2166	0.672 1.09 2.047 0.3351	-0.5133 -0.7495 0.4197 -3.484
2400	1.911 -2.356 -3.406 -0.5144	0.8908 1.826 3.057 0.3295	0.6635 1.336 2.187 0.3586	-0.6158 -0.847 0.3292 -3.475
2500	1.695 -2.245 -3.539 -0.5068	1.063 1.892 2.945 0.02581	0.8924 1.4 2.148 0.4589	-0.6643 -1.199 0.4597 -3.597
2600	1.761 -2.494 -3.513 -0.4957	0.7475 1.825 3.045 -0.2629	0.7381 1.365 2.066 0.3564	-0.7779 -1.245 0.3895 -3.619
2700	1.775 -2.516 -3.309 -0.1418	0.3414 1.83 3.12 -0.343	0.9341 1.357 2.174 0.3175	-0.7913 -1.263 0.5666 -3.53
2800	1.734 -2.43 -3.208 0.03535	0.1927 1.841 3.055 -0.661	0.7704 1.24 1.991 0.2665	-0.7469 -1.121 0.6258 -3.432
2900	1.691 -2.539 -3.035 0.03824	0.3532 1.804 3.3 -0.3211	0.7136 1.301 1.956 0.03244	-0.587 -1.41 0.8369 -3.452
3000	1.707 -2.691 -2.945 0.03538	0.1844 1.777 3.413 -0.07932	0.4188 1.158 2.062 -0.09507	-0.4932 -1.298 0.8696 -3.596
3100	1.79 -2.707 -2.647 0.2893	0.2373 1.862 3.628 -0.1573	0.2578 0.8535 2.108 -0.1514	-0.4243 -1.5 1.119 -3.265
3200	1.843 -2.738 -2.384 0.1997	0.1213 1.924 3.865 -0.4065	0.06018 0.866 2.255 0.03559	-0.6844 -1.286 1.276 -3.39
3300	1.998 -2.676 -2.348 -0.07205	0.2773 2.025 3.721 -0.4589	-0.08188 0.8445 2.458 -0.04854	-0.6577 -1.41 1.456 -3.034
3400	2.04 -2.685 -2.553 0.1041	0.2532 1.977 3.836 -0.4709	-0.09954 0.9939 2.301 -0.2908	-0.8133 -1.675 1.557 -3.129
3500	1.993 -2.561 -2.621 0.203	0.3084 2.086 3.744 -0.7201	-0.1037 1.187 2.279 0.1996	-0.7424 -1.755 1.558 -3.213
3600	1.941 -2.669 -2.548 0.07032	0.04061 1.942 3.651 -0.9171	-0.02229 1.091 2.255 0.1184	-1.044 -1.899 1.68 -3.341
3700	2.129 -2.543 -2.721 0.07848	-0.1618 2.151 3.555 -0.9099	0.1558 1.169 2.368 0.172	-1.152 -1.44 1.359 -3.149
3800	2.06 -2.724 -2.702 0.2992	-0.1091 2.134 3.956 -0.5816	-0.03251 1.077 2.432 0.08468	-1.025 -1.849 1.556 -3.184
3900	2.084 -2.578 -3.024 0.3944	-0.07832 2.03 4.204 -0.4338	0.1942 1.076 2.38 0.2238	-0.8358 -1.92 1.604 -3.226
4000	2.077 -2.395 -3.078 0.4671	-0.00974 1.919 3.966 -0.4523	0.1226 1.207 2.459 0.3033	-0.8832 -2.202 1.955 -3.151
4100	1.944 -2.36 -3.268 0.2131	-0.001219 2.064 4.057 -0.4488	0.1434 1.346 2.408 0.4672	-0.9076 -2.4 1.716 -3.099
4200	1.956 -2.422 -3.094 -0.01901	0.02361 2.085 4.075 -0.3101	-0.01307 1.236 2.307 0.5991	-0.8774 -2.495 1.852 -3.136
4300	2.006 -2.249 -2.897 -0.2852	0.1706 1.986 3.979 -0.4377	-0.1904 1.414 2.209 0.767	-0.8356 -2.216 2.052 -2.947
4400	2.103 -2.363 -2.963 -0.3856	0.2396 2.084 3.941 -0.3178	-0.2769 1.606 2.434 0.6202	-0.9586 -2.053 1.929 -3.153
4500	2.264 -2.733 -2.625 -0.4648	0.6299 2.165 3.896 -0.5088	0.2547 1.594 2.449 0.9452	-0.9717 -2.074 1.812 -2.927
4600	2.069 -2.671 -2.648 -0.5554	0.9746 2.238 3.935 -0.5606	0.2078 1.703 2.447 1.054	-1.28 -2.213 1.815 -3.14
4700	1.88 -2.88 -2.442 -0.5318	1.055 2.11 3.972 -0.756	0.5392 1.405 2.152 0.7589	-0.9811 -1.974 1.456 -3.204
4800	1.833 -3.063 -2.668 -0.6122	0.8539 1.894 3.969 -0.9336	0.5365 1.614 2.253 0.752	-0.72 -1.976 1.61 -3.483
4900	1.842 -3.006 -2.558 -0.4481	1.086 2.107 3.951 -1.009	0.6527 1.412 2.268 0.4885	-0.9499 -2.053 1.599 -3.602
5000	1.924 -3.004 -2.748 -0.5254	0.8263 2.02 4.213 -1.069	0.57 1.176 2.233 0.2698	-1.309 -1.886 1.677 -3.75
5100	2.06 -2.844 -2.96 -0.5644	1.149 2.047 4.281 -0.9775	0.5288 1.009 2.268 0.3232	-1.47 -1.932 1.639 -3.622
5200	1.962 -2.663 -2.9 -0.7045	0.9014 2.153 4.472 -0.9666	0.2677 1.077 2.309 0.2871	-1.393 -1.973 1.674 -3.434
5300	2.038 -2.796 -2.878 -0.6088	0.9695 1.888 4.512 -0.7677	0.2468 0.9626 2.317 0.3959	-1.38 -1.825 1.825 -3.634
5400	1.965 -2.772 -2.769 -0.4312	1.24 1.91 4.408 -0.9152	0.3798 1.111 2.226 0.4071	-1.127 -1.917 1.803 -3.619
5500	2.051 -2.752 -2.897 -0.1616	1.566 1.957 4.329 -0.7959	0.5136 1.009 2.347 0.3791	-1.136 -2.085 1.727 -3.39
5600	1.969 -2.705 -3.089 -0.1285	1.977 1.946 4.26 -1.203	0.4654 1.059 2.227 0.3694	-1.298 -2.284 1.91 -3.416
5700	1.892 -2.911 -2.738 -0.4378	1.839 1.902 4.144 -1.072	0.3892 0.9378 2.249 0.3591	-1.275 -2.55 1.792 -3.085
5800	1.752 -2.883 -2.877 -0.4949	1.974 1.87 4.107 -1.164	0.3202 1.2 2.182 0.5249	-1.244 -2.466 1.356 -2.927
5900	1.75 -2.869 -2.989 -0.5155	2.108 1.718 4.048 -0.7842	0.3131 1.415 1.933 0.5175	-1.269 -2.492 1.461 -2.921
6000	1.771 -3.024 -3.086 -0.5728	1.965 1.796 4.39 -1.057	0.1251 1.491 1.974 0.3941	-1.367 -2.784 1.211 -2.853
6100	1.639 -2.65 -3.031 -0.6608	2.097 1.689 4.212 -1.217	-0.1708 1.379 2.096 0.4954	-1.041 -2.892 1.56 -3.039
6200	1.684 -2.659 -3.216 -0.5723	2.099 1.773 4.325 -1.606	-0.06735 1.367 2.026 0.5588	-0.8543 -3.035 1.588 -2.918
6300	1.75 -2.755 -2.982 -0.3847	1.806 1.878 4.28 -1.695	-0.123 1.299 2.151 0.5992	-0.7829 -2.765 1.368 -2.888
6400	1.707 -2.933 -2.99 -0.3071	1.749 1.672 4.011 -1.692	0.07398 1.225 2.013 0.4881	-1.182 -2.694 1.208 -2.963
6500	1.597 -2.847 -3.145 -0.3156	1.673 1.671 4.092 -1.937	0.1956 1.457 1.874 0.4529	-1.037 -2.686 1.087 -2.909
6600	1.626 -3.022 -3.465 -0.1227	1.348 1.622 3.847 -1.939	0.4056 1.586 1.927 0.499	-0.8962 -2.927 1.289 -3.375
6700	1.462 -3.341 -3.408 -0.1691	1.525 1.501 4.04 -2.06	0.4145 1.573 1.887 0.451	-0.5841 -2.858 1.139 -3.629
6800	1.573 -3.569 -3.285 -0.4366	1.457 1.451 3.892 -2.089	0.6336 1.373 1.969 0.1016	-0.7792 -3.009 1.353 -3.753
6900	1.662 -3.447 -3.463 -0.343	1.492 1.593 3.751 -1.865	0.7011 1.332 1.891 0.09472	-0.589 -2.848 1.323 -3.877
7000	1.56 -3.346 -3.494 -0.1315	1.339 1.592 3.829 -2.021	0.5352 1.394 1.864 0.2196	-0.688 -2.51 1.211 -4.021
7100	1.563 -3.085 -3.395 -0.3059	1.362 1.557 3.978 -1.904	0.3761 1.411 1.887 0.1299	-0.5807 -2.4 1.362 -3.788
7200	1.507 -3.004 -3.494 -0.4885	1.528 1.715 4.22 -2.007	0.3585 1.467 2.054 0.3156	-0.5277 -2.643 1.204 -3.739
7300	1.654 -2.934 -3.405 -0.4467	1.442 1.687 4.192 -1.951	0.2385 1.376 1.995 0.5463	-0.4232 -2.69 1.365 -3.545
7400	1.88 -3.003 -3.366 -0.2588	1.3 1.796 4.202 -1.857	0.3302 1.366 2.342 0.2532	-0.5861 -2.676 1.565 -3.608
7500	1.904 -3.033 -3.475 -0.1475	1.393 1.861 4.274 -1.926	0.2416 1.114 2.173 0.1148	-0.5361 -2.549 1.682 -3.805
7600	1.546 -2.927 -3.128 0.1819	1.432 1.588 4.466 -1.962	0.1622 1.123 1.958 -0.07052	-0.4983 -2.229 1.52 -3.865
7700	1.578 -3.103 -3.339 0.0002467	1.423 1.679 4.539 -1.918	0.139 0.8534 2.08 -0.01803	-0.2652 -2.318 1.32 -4.017
